,country,total,new case,death,new_death,recovered,active_cases,critical
1,World,1584980,"67,020",94720,"6,265",352444,1137816,48943
2,,,,,,,,
3,,,,,,,,
4,USA,457101,"22,174",16246,"1,458",24910,415945,9813
5,,,,,,,,
6,Spain,152446,"4,226",15238,446,52165,85043,7371
7,Italy,143626,"4,204",18279,610,28470,96877,3605
8,France,117749,"4,799",12210,"1,341",23206,82333,7066
9,Germany,115523,"2,227",2451,102,49926,63146,4895
10,China,81865,63,3335,2,77370,1160,176
11,Iran,66220,"1,634",4110,117,32309,29801,3918
12,UK,65077,"4,344",7978,881,135,56964,1559
13,Turkey,42282,"4,056",908,96,2142,39232,1552
14,,,,,,,,
15,Belgium,24983,"1,580",2523,283,5164,17296,1285
16,Switzerland,24046,766,948,53,10600,12498,386
17,Netherlands,21762,"1,213",2396,148,250,19116,1424
18,Canada,20696,"1,258",503,76,5206,14987,518
19,Brazil,16474,286,839,19,173,15462,296
20,Portugal,13956,815,409,29,205,13342,241
21,Austria,13244,302,295,22,5240,7709,266
22,,,,,,,,
23,S. Korea,10423,39,204,4,6973,3246,55
24,Russia,10131,"1,459",76,13,698,9357,8
25,Israel,9968,564,86,13,1011,8871,166
26,Sweden,9141,722,793,106,205,8143,719
27,,,,,,,,
28,India,6725,809,226,48,620,5879,
29,Ireland,6574,500,263,28,25,6286,165
30,Norway,6160,118,108,7,32,6020,78
31,Australia,6104,52,51,1,2987,3066,81
32,Chile,5972,426,57,9,1274,4641,360
33,Denmark,5635,233,237,19,1736,3662,120
34,Poland,5575,370,174,15,284,5117,160
35,Czechia,5467,155,112,13,301,5054,96
36,Peru,5256,914,138,17,1438,3680,124
37,Romania,5202,441,248,28,647,4307,178
38,Ecuador,4965,515,272,30,339,4354,139
39,Japan,4667,,94,,632,3941,99
40,Pakistan,4489,226,65,4,572,3852,31
41,Malaysia,4228,109,67,2,1608,2553,72
42,Philippines,4076,206,203,21,124,3749,1
43,Indonesia,3293,337,280,40,252,2761,
44,Saudi Arabia,3287,355,44,3,666,2577,41
45,Mexico,3181,396,174,33,633,2374,89
46,Luxembourg,3115,81,52,6,374,2689,30
47,Serbia,2867,201,66,1,118,2683,127
48,UAE,2659,,12,,239,2408,1
49,Finland,2605,118,42,2,300,2263,82
50,Panama,2528,,63,,16,2449,101
51,Thailand,2423,54,32,2,940,1451,61
52,Qatar,2376,166,6,,206,2164,37
53,Dominican Republic,2349,238,118,10,80,2151,147
54,Colombia,2054,,55,,123,1876,85
55,Greece,1955,71,87,4,269,1599,79
56,South Africa,1934,89,18,,95,1821,7
57,Singapore,1910,287,6,,460,1444,29
58,Ukraine,1892,224,57,5,45,1790,33
59,Argentina,1795,,71,6,365,1359,96
60,Egypt,1699,139,118,15,348,1233,
61,Algeria,1666,94,235,30,347,1084,46
62,Iceland,1648,32,6,,688,954,11
63,Belarus,1486,420,16,3,139,1331,55
64,Croatia,1407,64,20,1,219,1168,34
65,Morocco,1374,99,97,4,109,1168,1
66,Moldova,1289,115,29,2,50,1210,80
67,New Zealand,1239,29,1,,317,921,4
68,Iraq,1232,30,69,,496,667,
69,Estonia,1207,22,24,,83,1100,9
70,Slovenia,1124,33,43,3,128,953,34
71,Hungary,980,85,66,8,96,818,17
72,Hong Kong,974,13,4,,293,677,14
73,Lithuania,955,43,16,1,8,931,21
74,Azerbaijan,926,104,9,1,101,816,27
75,Armenia,921,40,10,1,138,773,30
76,Kuwait,910,55,1,,111,798,22
77,Bahrain,887,64,5,,519,363,3
78,Bosnia and Herzegovina,858,54,35,1,101,722,4
79,Kazakhstan,764,37,7,,60,697,21
80,Cameroon,730,,10,,60,660,
81,,,,,,,,
82,Diamond Princess,712,,11,,619,82,10
83,Slovakia,701,19,2,,23,676,5
84,North Macedonia,663,46,30,1,37,596,15
85,Tunisia,643,15,25,1,25,593,78
86,Bulgaria,618,25,24,,48,546,32
87,Latvia,589,12,3,1,16,570,3
88,Andorra,583,19,25,2,58,500,17
89,Lebanon,582,6,19,,67,496,29
90,Uzbekistan,582,37,3,,38,541,8
91,Cyprus,564,38,10,1,53,501,13
92,Costa Rica,539,37,3,,30,506,13
93,Cuba,515,58,15,3,28,472,15
94,Afghanistan,484,40,15,1,32,437,
95,Oman,457,38,3,1,109,345,3
96,Uruguay,456,,7,,192,257,14
97,Ivory Coast,444,60,3,,52,389,
98,Burkina Faso,443,29,24,1,146,273,
99,Albania,409,9,23,1,165,221,7
100,Taiwan,380,1,5,,80,295,
101,Jordan,372,14,7,1,161,204,5
102,Réunion,362,,,,40,322,4
103,Channel Islands,361,10,8,,40,313,
104,Honduras,343,31,23,1,6,314,10
105,Niger,342,,11,,28,303,
106,Malta,337,38,2,1,16,319,4
107,San Marino,333,25,34,,49,250,14
108,Bangladesh,330,112,21,1,33,276,1
109,Mauritius,314,41,7,,23,284,3
110,Ghana,313,,6,,34,273,2
111,Kyrgyzstan,280,10,4,,35,241,5
112,Nigeria,276,,6,,44,226,2
113,Bolivia,264,54,18,3,2,244,3
114,Palestine,263,,1,,44,218,
115,Vietnam,255,4,,,128,127,8
116,Montenegro,252,4,2,,4,246,7
117,Senegal,250,6,2,,123,125,1
118,Georgia,218,7,3,,51,164,6
119,Guinea,194,30,,,11,183,
120,Sri Lanka,190,1,7,,49,134,5
121,Isle of Man,190,32,1,,92,97,12
122,Kenya,184,5,7,1,12,165,2
123,Mayotte,184,,2,,22,160,3
124,Faeroe Islands,184,,,,136,48,
125,DRC,180,,18,,9,153,
126,Venezuela,171,4,9,,84,78,6
127,Martinique,154,,6,,50,98,19
128,Guadeloupe,141,,8,,43,90,13
129,Brunei,135,,1,,92,42,3
130,Djibouti,135,,,,25,110,
131,Paraguay,124,5,5,,18,101,1
132,Gibraltar,123,3,,,60,63,1
133,Cambodia,119,2,,,62,57,1
134,Rwanda,110,,,,7,103,
135,Trinidad and Tobago,109,2,8,,1,100,
136,El Salvador,103,10,5,,10,88,3
137,Guatemala,95,8,3,,17,75,3
138,Madagascar,93,,,,11,82,1
139,Monaco,84,3,1,,5,78,4
140,French Guiana,83,,,,43,40,1
141,Aruba,82,5,,,20,62,
142,Liechtenstein,78,,1,,55,22,
143,Mali,74,15,7,,22,45,
144,Togo,73,3,3,,24,46,
145,Jamaica,63,,4,,12,47,
146,Barbados,63,,3,,8,52,4
147,Congo,60,15,5,,5,50,
148,Ethiopia,56,1,2,,4,50,2
149,Uganda,53,,,,,53,
150,French Polynesia,51,,,,,51,
151,Cayman Islands,45,,1,,6,38,
152,Macao,45,,,,10,35,1
153,Gabon,44,10,1,,1,42,
154,Sint Maarten,43,3,6,,1,36,2
155,Bahamas,40,,7,,5,28,1
156,Bermuda,39,,3,,23,13,
157,Zambia,39,,1,,24,14,1
158,Guyana,37,,6,,8,23,4
159,Guinea-Bissau,36,3,,,,36,
160,Eritrea,33,,,,,33,
161,Saint Martin,32,,2,,7,23,6
162,Liberia,31,,4,,3,24,
163,Haiti,30,3,2,1,,28,
164,Benin,26,,1,,5,20,
165,Tanzania,25,,1,,5,19,
166,Libya,24,3,1,,8,15,
167,Myanmar,23,1,3,,1,19,
168,Angola,19,,2,,2,15,
169,Antigua and Barbuda,19,,2,,,17,1
170,Syria,19,,2,,4,13,
171,Maldives,19,,,,13,6,
172,Equatorial Guinea,18,,,,3,15,
173,New Caledonia,18,,,,1,17,
174,Mozambique,17,,,,1,16,
175,Laos,16,1,,,,16,
176,Mongolia,16,,,,4,12,
177,Namibia,16,,,,3,13,
178,Sudan,15,1,2,,2,11,
179,Dominica,15,,,,1,14,
180,Fiji,15,,,,,15,
181,Curaçao,14,,1,,7,6,
182,Saint Lucia,14,,,,1,13,
183,Botswana,13,7,1,,,12,
184,Somalia,12,,1,,1,10,
185,Grenada,12,,,,,12,2
186,Eswatini,12,,,,7,5,
187,Zimbabwe,11,,3,,,8,
188,Chad,11,1,,,2,9,
189,Greenland,11,,,,11,0,
190,Saint Kitts and Nevis,11,,,,,11,
191,Seychelles,11,,,,,11,
192,Suriname,10,,1,,4,5,
193,MS Zaandam,9,,2,,,7,
194,Belize,9,1,1,,,8,1
195,Nepal,9,,,,1,8,
196,Montserrat,9,,,,,9,1
197,Malawi,8,,1,,,7,1
198,Turks and Caicos,8,,1,,,7,
199,CAR,8,,,,,8,
200,Vatican City,8,,,,2,6,
201,St. Vincent Grenadines,8,,,,1,7,
202,Cabo Verde,7,,1,,1,5,
203,Mauritania,7,1,1,,2,4,
204,Nicaragua,7,1,1,,,6,
205,Sierra Leone,7,,,,,7,
206,St. Barth,6,,,,1,5,
207,Bhutan,5,,,,2,3,
208,Falkland Islands,5,,,,1,4,
209,Gambia,4,,1,,2,1,
210,Sao Tome and Principe,4,,,,,4,
211,Western Sahara,4,,,,,4,
212,Anguilla,3,,,,,3,
213,British Virgin Islands,3,,,,,3,
214,Burundi,3,,,,,3,
215,South Sudan,3,1,,,,3,
216,Caribbean Netherlands,2,,,,,2,
217,Papua New Guinea,2,,,,,2,
218,Saint Pierre Miquelon,1,,,,,1,
219,Timor-Leste,1,,,,,1,
