,country,total,new case,death,new_death,active_cases,recovered,critical
1,China,80430,160,3013,32,25158,52259,5952
2,S. Korea,6088,467,40,5,5913,135,52
3,Iran,3513,591,107,15,2667,739,
4,Italy,3089,,107,,2706,276,295
5,Diamond Princess,696,,6,,478,212,35
6,Germany,482,220,,,466,16,2
7,France,377,92,6,2,359,12,15
8,Japan,361,30,6,,312,43,29
9,Spain,259,31,3,1,254,2,7
10,USA,164,6,11,,144,9,8
11,Singapore,117,5,,,36,81,7
12,UK,115,28,,,107,8,
13,Switzerland,114,21,1,1,110,3,
14,Hong Kong,105,2,2,,66,37,6
15,Norway,86,27,,,86,,
16,Netherlands,82,44,,,82,,1
17,Sweden,64,12,,,63,1,
18,Kuwait,58,2,,,58,,
19,Bahrain,55,3,,,51,4,
20,Malaysia,55,5,,,33,22,
21,Australia,53,,2,,30,21,1
22,Belgium,50,27,,,49,1,1
23,Thailand,47,4,1,,15,31,1
24,Taiwan,44,2,1,,31,12,
25,Austria,41,12,,,39,2,1
26,Canada,37,3,,,29,8,1
27,Iraq,35,,3,1,32,,
28,Iceland,34,8,,,34,,
29,Greece,31,22,,,31,,
30,India,30,1,,,27,3,
31,UAE,28,,,,23,5,2
32,San Marino,21,5,1,,20,,3
33,Algeria,17,,,,17,,
34,Israel,16,1,,,14,2,
35,Lebanon,16,1,,,16,,1
36,Oman,16,1,,,14,2,
37,Vietnam,16,,,,0,16,
38,Denmark,15,,,,15,,
39,Ecuador,13,3,,,13,,1
40,Czechia,12,4,,,12,,
41,Finland,12,5,,,11,1,
42,Macao,10,,,,1,9,
43,Croatia,10,,,,10,,
44,Portugal,8,2,,,8,,
45,Qatar,8,,,,8,,
46,Azerbaijan,6,3,,,6,,
47,Belarus,6,,,,6,,
48,Ireland,6,,,,6,,
49,Mexico,6,,,,5,1,
50,Romania,6,,,,5,1,
51,Pakistan,5,,,,5,,
52,Saudi Arabia,5,3,,,4,1,
53,Brazil,4,1,,,4,,
54,Georgia,4,1,,,4,,1
55,Russia,4,1,,,2,2,
56,Senegal,4,,,,4,,
57,Palestine,4,4,,,4,,
58,Philippines,3,,1,,0,2,
59,Egypt,3,1,,,2,1,
60,Estonia,3,1,,,3,,
61,New Zealand,3,,,,3,,
62,Chile,3,,,,3,,
63,Indonesia,2,,,,2,,
64,Morocco,2,1,,,2,,1
65,Bosnia and Herzegovina,2,2,,,2,,
66,Hungary,2,,,,2,,
67,Slovenia,2,1,,,2,,
68,Afghanistan,1,,,,1,,
69,Andorra,1,,,,1,,
70,Armenia,1,,,,1,,
71,Cambodia,1,,,,0,1,
72,Dominican Republic,1,,,,1,,
73,Jordan,1,,,,1,,
74,Latvia,1,,,,1,,
75,Lithuania,1,,,,1,,
76,Luxembourg,1,,,,1,,
77,North Macedonia,1,,,,1,,
78,Monaco,1,,,,1,,
79,Nepal,1,,,,0,1,
80,Nigeria,1,,,,1,,
81,Sri Lanka,1,,,,0,1,
82,Tunisia,1,,,,1,,
83,Ukraine,1,,,,1,,
84,Argentina,1,,,,1,,
85,Liechtenstein,1,,,,1,,
86,Poland,1,,,,1,,
87,South Africa,1,1,,,1,,
